N,M,Result
78,77,74
892,82,697
719,30,153
706,88,333
389,28,18
979,4,239
164,51,131
901,4,847
238,83,46
865,76,426
40,21,25
450,33,103
181,19,163
13,4,5
51,43,39
976,87,524
369,63,195
472,84,278
847,50,393
249,42,247
25,14,12
179,14,135
291,28,23
392,6,56
39,1,39
862,32,62
794,1,794
454,6,428
483,74,314
972,93,714
217,72,73
290,80,215
883,63,11
362,36,14
788,56,28
361,53,191
977,90,116
879,45,268
291,20,250
171,38,104
884,32,766
655,50,489
364,53,350
631,12,583
670,94,370
412,87,409
103,97,40
472,72,380
644,82,160
487,43,120
899,91,550
877,19,32
770,30,179
335,16,146
643,35,570
121,70,68
381,30,191
338,64,215
782,76,689
591,29,187
686,67,453
801,92,428
541,25,91
331,96,158
843,97,702
890,10,852
203,90,133
415,93,32
459,92,290
235,63,90
37,4,34
166,44,124
72,49,24
962,69,845
278,12,146
453,27,89
30,1,30
838,56,377
265,34,156
250,84,154
540,71,168
959,16,687
590,2,157
982,16,77
334,54,55
335,24,200
255,20,74
355,97,161
341,86,27
910,66,113
971,3,517
961,94,244
486,97,354
536,75,275
896,87,126
855,58,286
849,17,621
932,66,642
389,6,38
180,54,28
144,21,100
827,11,438
762,69,703
172,78,22
292,82,253
277,34,18
651,16,468
604,47,405
218,42,107
137,5,118
360,74,26
35,27,24
285,37,154
732,89,633
248,16,194
77,61,64
710,9,302
780,2,537
846,73,315
714,77,623
297,62,257
717,6,332
346,66,294
752,49,606
486,32,19
573,63,2
619,56,402
621,27,339
648,33,42
875,73,712
850,79,741
509,78,32
406,95,90
197,100,88
386,69,147
743,65,682
486,55,375
40,22,39
873,3,223
236,86,159
475,64,104
187,50,149
620,45,486
833,2,643
122,17,97
153,57,140
771,54,676
692,40,159
765,10,407
216,75,199
972,73,419
411,82,283
114,25,15
524,82,240
974,67,930
430,60,267
53,41,33
441,30,357
635,65,506
287,99,108
802,6,47
332,1,332
623,53,90
879,57,478
71,58,44
383,75,194
629,39,219
188,98,171
691,78,508
225,100,142
628,87,265
336,21,3
125,53,124
718,38,230
721,32,327
110,54,101
239,70,176
812,5,671
329,92,66
374,50,16
418,37,208
256,18,128
115,89,46
50,7,1
323,22,189
417,83,160
140,90,71
578,16,505
387,44,190
654,20,409
798,89,399
893,13,870
839,31,543
741,95,21
969,44,369
639,4,489
84,61,5
447,74,430
966,92,638
246,97,31
857,19,528
609,8,292
334,74,190
253,57,68
457,12,102
753,66,548
826,4,547
343,74,179
7,7,5
829,98,305
561,71,559
886,15,847
646,75,264
716,54,659
47,41,38
783,29,256
175,7,18
66,37,25
82,49,48
726,70,611
688,35,150
262,33,179
195,55,17
998,65,936
438,79,381
214,33,24
445,24,115
397,54,158
476,40,221
102,62,33
654,86,459
659,58,244
303,33,121
732,20,599
337,27,125
401,44,13
316,5,193
987,67,826
870,61,115
493,83,88
982,78,938
304,40,237
459,64,20
459,87,150
308,9,106
527,74,27
316,15,9
382,91,84
618,13,239
981,61,387
789,64,325
928,38,865
238,80,14
489,5,277
88,25,73
357,29,346
974,57,328
743,39,563
113,92,75
728,21,615
282,52,129
811,37,541
648,68,92
52,41,45
363,76,361
529,75,283
507,83,247
982,52,628
724,78,252
576,6,148
498,16,285
526,56,328
657,94,474
533,89,431
148,24,66
695,8,325
545,2,67
698,19,573
42,12,40
759,58,372
299,58,295
105,1,105
639,31,222
442,97,256
384,100,278
626,86,603
765,51,345
697,99,478
254,31,64
92,29,40
790,50,12
466,12,210
986,27,776
966,23,501
794,23,85
249,9,136
588,75,238
140,24,20
928,7,843
940,43,163
89,39,22
517,51,353
772,100,110
889,15,3
738,83,316
376,30,41
68,19,59
902,61,286
774,40,504
969,95,352
739,58,705
589,60,191
52,2,41
813,96,170
949,99,61
117,15,80
258,7,162
893,92,426
943,66,431
894,95,676
3,3,2
58,53,55
475,98,53
386,1,386
820,56,201
390,13,250
598,40,281
2,1,2
485,72,362
416,55,128
883,92,395
401,48,132
8,3,7
410,74,255
999,45,994
578,73,447
362,6,259
435,26,372
123,20,14
831,10,262
510,89,464
887,51,814
548,50,508
264,20,254
369,75,272
817,75,729
647,78,415
623,89,377
730,91,567
759,93,658
15,6,7
697,55,282
268,81,127
176,30,135
145,62,127
202,95,76
657,55,121
392,46,345
796,16,661
434,83,293
777,72,323
724,99,309
131,60,8
272,92,224
319,82,19
511,5,387
22,10,1
45,2,27
9,2,3
71,4,10
198,73,43
732,11,181
313,17,90
448,26,272
591,77,248
373,35,43
679,97,658
110,53,34
199,52,107
257,3,62
370,19,33
908,18,568
946,56,163
274,18,188
627,70,415
529,59,309
385,28,295
845,94,198
676,44,492
992,52,159
848,61,496
162,58,135
634,88,42
518,15,97
714,64,51
46,32,4
265,81,151
981,57,727
138,67,28
909,62,538
130,100,29
787,92,725
859,43,299
957,20,35
610,8,300
213,11,67
187,7,102
718,94,11
643,2,263
322,20,267
226,63,214
21,4,21
733,37,715
889,87,412
653,78,232
23,18,15
439,45,192
104,74,7
335,41,331
272,23,8
789,20,221
684,64,240
171,66,134
328,75,320
629,91,194
272,51,80
158,48,30
169,44,89
272,63,135
58,56,39
90,83,23
620,81,552
875,37,383
356,49,207
735,13,406
20,4,17
879,71,556
712,68,352
640,92,9
22,6,11
352,50,16
45,9,3
99,23,37
386,95,176
20,12,11
116,51,45
215,98,204
188,10,43
57,24,9
262,57,63
637,93,427
143,14,105
962,75,53
965,50,883
434,58,164
307,90,187
166,60,17
631,86,406
279,81,197
174,95,53
826,71,206
562,6,64
375,40,21
331,22,35
599,93,590
117,75,45
723,40,693
836,91,32
179,100,169
651,89,321
114,85,11
940,78,536
153,92,45
590,92,341
446,52,9
562,30,534
255,23,149
13,3,13
684,55,259
282,37,43
893,40,265
57,19,36
394,14,151
96,64,90
97,23,89
168,13,24
604,14,83
446,68,424
748,18,175
8,6,1
792,92,397
42,15,40
594,21,404
712,9,320
412,75,386
743,80,342
256,46,134
246,52,107
353,34,62
572,5,149
875,41,727
369,91,33
911,42,690
764,69,78
543,7,243
457,51,211
972,48,343
277,71,86
259,83,39
308,89,103
181,75,142
484,65,144
886,6,551
878,79,364
55,14,50
788,96,180
951,44,538
10,9,7
927,28,837
994,54,459
952,8,778
568,18,241
404,90,60
284,33,85
948,46,26
170,4,27
209,100,64
410,48,157
670,20,62
760,57,251
557,13,46
888,25,265
490,29,479
202,73,134
91,20,25
898,47,85
285,37,154
771,21,13
175,69,52
8,5,3
230,74,45
45,38,39
401,71,141
370,64,138
999,20,875
497,18,42
514,27,278
435,40,396
814,89,208
730,40,249
639,11,525
642,94,362
111,93,46
789,41,509
27,3,20
348,51,250
463,26,206
874,20,239
31,7,30
639,75,382
950,85,882
991,34,721
578,48,393
334,90,47
272,53,188
72,56,42
238,78,57
21,12,2
960,67,953
164,18,118
911,95,488
700,82,26
594,65,295
22,17,19
605,27,516
695,99,280
189,90,52
5,5,2
800,80,266
507,1,507
787,5,546
470,90,316
706,35,76
408,17,267
933,61,336
959,6,35
360,46,3
422,53,301
291,8,275
137,47,113
294,14,129
465,77,43
260,29,247
511,92,225
781,73,453
746,27,300
668,21,54
423,64,365
680,45,605
206,39,92
896,47,888
812,29,295
384,21,287
763,30,734
709,18,212
423,1,423
820,19,655
941,36,867
620,73,530
633,22,18
852,63,666
13,2,11
508,24,186
55,39,46
667,74,236
158,97,81
888,51,865
186,69,86
306,58,96
684,26,266
405,26,13
144,88,87
807,90,16
463,65,204
646,86,420
563,2,103
646,90,75
289,61,156
328,74,78
474,9,467
757,19,244
853,2,683
755,32,681
494,77,354
608,38,53
351,3,344
765,3,698
873,72,645
447,5,67
317,16,184
955,32,286
686,61,527
684,9,68
792,51,159
109,42,89
485,65,209
782,27,508
237,90,115
931,74,788
376,96,239
274,77,187
598,19,574
680,14,502
900,56,368
295,2,79
160,77,103
689,12,643
860,85,450
992,22,680
803,21,685
750,6,530
375,25,76
24,2,17
638,20,89
797,11,108
36,29,34
608,81,194
171,60,148
458,40,431
546,86,154
670,78,231
55,40,31
934,23,710
304,62,90
514,80,99
291,75,20
554,45,432
264,93,79
745,99,179
227,39,38
296,58,121
726,27,495
439,7,24
937,73,725
970,1,970
944,31,227
23,2,15
485,85,78
246,40,107
196,22,170
829,93,17
805,77,34
735,68,469
236,6,88
528,13,223
183,64,137
990,20,695
283,93,204
276,51,8
315,100,14
48,35,32
992,35,829
81,4,50
79,6,31
426,91,32
835,48,116
818,48,133
17,9,17
130,83,58
226,29,218
651,89,321
232,55,125
593,76,4
922,31,482
243,49,22
111,75,53
708,91,5
964,19,761
989,49,80
730,27,603
128,33,59
588,52,144
119,26,105
758,95,130
613,73,19
12,8,5
677,9,5
904,27,442
342,100,73
313,1,313
417,22,27
113,78,77
848,77,18
130,50,113
21,6,5
147,6,115
748,100,1
706,53,499
123,28,57
553,19,287
870,17,114
298,49,288
12,10,5
401,67,398
712,8,461
622,13,291
311,72,5
559,33,151
130,12,105
189,53,118
124,77,26
312,22,262
505,46,199
132,4,39
867,7,416
101,80,13
85,1,85
987,44,178
900,45,320
257,48,59
371,9,339
3,1,3
149,88,86
47,29,20
400,71,70
817,94,69
639,15,145
793,36,675
60,50,51
346,99,267
132,98,72
564,22,313
721,92,657
556,47,458
903,57,56
577,30,421
948,50,33
746,19,35
714,74,254
677,31,72
870,33,553
55,7,36
787,98,237
676,47,609
990,11,412
43,8,30
16,8,7
579,40,112
398,12,255
982,12,981
828,56,649
821,27,768
376,26,53
832,28,776
759,69,496
801,46,294
385,98,253
919,32,81
706,79,219
517,46,239
251,68,51
887,25,240
549,62,329
356,18,92
219,59,15
742,50,679
111,35,46
505,10,299
424,100,243
324,14,242
317,94,207
11,9,5
521,61,72
203,66,202
166,24,21
908,94,866
736,81,507
252,92,214
254,43,160
649,35,134
10,5,3
28,3,23
238,28,134
206,56,139
618,48,529
819,80,162
358,33,290
379,79,201
174,63,112
884,42,451
852,71,370
123,11,71
878,94,715
446,29,135
16,12,1
331,8,301
22,18,20
296,31,268
568,8,537
947,18,341
259,88,215
252,27,173
870,57,836
718,98,259
737,82,172
90,89,74
954,47,865
115,46,25
673,48,607
693,20,522
38,19,8
540,71,168
876,28,307
564,64,62
51,30,21
246,50,84
405,19,309
385,17,269
344,24,75
30,1,30
717,72,483
307,64,166
550,80,313
768,85,743
153,30,99
802,1,802
958,45,126
297,47,210
330,96,62
451,36,377
583,87,579
561,25,31
997,89,193
491,7,388
923,14,790
181,41,20
76,53,1
442,38,63
886,59,647
599,51,64
938,14,66
608,48,49
252,29,15
148,88,147
353,31,96
442,1,442
303,96,15
191,97,146
658,82,658
571,65,543
94,16,75
287,40,147
408,65,118
105,64,62
278,44,35
705,31,242
304,57,189
973,63,73
399,53,309
916,80,82
376,42,24
419,82,108
702,31,149
108,41,29
808,76,282
354,5,36
363,50,207
314,4,94
804,89,130
242,71,195
339,63,80
971,35,94
151,39,79
899,96,726
644,99,581
414,4,106
470,83,114
577,77,339
155,43,108
632,86,492
610,33,63
492,56,451
426,43,241
845,15,232
180,81,93
3,1,3
71,20,33
514,43,277
687,84,621
3,2,3
298,1,298
975,91,928
36,7,33
952,97,532
664,59,577
263,66,241
856,19,509
389,48,345
807,71,493
188,47,93
5,5,2
780,51,336
419,94,295
21,5,12
260,81,10
466,62,247
596,86,457
520,50,174
270,49,52
866,73,55
844,68,814
772,40,424
945,68,558
255,69,7
377,63,327
380,32,116
290,89,3
382,84,360
971,4,207
387,66,67
933,58,328
237,42,225
427,54,124
438,86,200
977,18,881
428,72,350
257,46,180
938,68,82
831,80,294
346,98,89
214,46,82
13,7,6
590,42,439
814,11,295
441,7,38
841,86,157
261,92,13
505,90,47
991,43,415
712,18,266
494,60,429
95,19,1
31,27,16
961,7,131
97,13,31
578,88,569
113,88,54
649,22,370
273,11,248
436,11,356
858,70,383
179,40,162
638,41,30
236,14,113
354,20,239
217,30,201
557,22,159
748,49,410
798,31,94
825,85,10
266,78,224
923,10,287
804,74,58
811,87,427
811,3,37
126,55,47
188,29,137
603,88,414
500,15,339
800,80,266
350,44,43
264,91,220
127,38,63
401,23,303
365,19,307
40,23,7
196,24,4
932,23,664
475,43,89
204,73,77
566,58,356
376,83,323
957,42,766
435,45,12
955,46,348
497,82,75
946,69,691
697,77,20
29,6,28
285,93,106
630,45,312
268,36,104
112,6,33
865,34,150
783,27,535
157,98,61
982,4,251
730,98,712
962,92,270
270,50,254
962,48,828
658,22,568
870,58,291
825,37,240
539,97,380
428,71,402
128,5,73
926,98,138
929,85,37
247,27,38
256,27,25
973,44,545
880,86,51
917,90,413
579,2,135
95,25,66
907,65,703
407,84,93
6,2,5
488,97,60
440,44,28
25,17,23
972,6,113
269,66,105
140,72,12
594,44,62
238,63,41
337,52,206
476,32,185
428,88,308
133,82,129
52,42,16
749,26,526
983,74,826
774,82,173
989,37,894
437,89,110
150,98,144
64,58,45
980,100,850
164,63,157
873,74,105
548,92,454
395,57,155
877,8,178
868,19,737
670,37,469
350,65,144
259,97,22
765,31,636
210,99,140
3,1,3
431,52,113
614,27,150
876,97,469
898,83,544
653,22,458
245,42,79
856,2,689
183,82,159
257,60,9
533,39,520
701,7,62
914,76,594
497,100,180
566,20,457
962,61,203
172,42,117
193,22,104
932,98,726
138,59,20
506,50,498
777,31,238
40,36,10
814,35,12
719,47,551
78,64,66
749,79,709
225,79,148
920,44,113
811,68,223
773,76,5
888,31,335
465,23,37
88,52,59
809,58,126
731,81,102
828,10,232
826,86,537
783,61,598
695,61,387
101,59,98
756,98,291
5,4,1
551,52,496
933,90,930
775,13,163
46,44,11
190,67,78
298,23,24
333,47,6
281,93,18
158,20,155
378,25,151
573,38,497
254,55,119
986,79,510
799,7,748
713,13,120
143,91,71
193,23,63
71,61,68
599,70,294
105,24,44
784,100,531
181,2,107
403,62,245
274,27,246
610,81,356
761,87,18
394,67,325
533,10,51
8,5,3
93,78,61
125,50,117
115,60,40
379,45,343
21,19,9
860,4,683
587,96,73
784,51,540
669,70,109
133,74,9
566,93,423
993,44,442
761,88,22
581,80,535
666,45,642
976,59,376
935,3,409
168,91,4
133,61,96
847,15,262
25,15,13
612,46,78
242,54,232
253,20,34
331,29,272
71,56,58
389,89,377
968,31,3
743,77,680
234,93,38
716,56,518
557,4,161
302,78,199
357,66,320
405,68,182
864,21,307
108,45,20
316,93,287
960,58,950
960,69,707
886,41,299
775,47,195
726,43,147
854,15,367
427,66,260
967,57,898
485,42,301
446,43,229
604,90,62
344,9,96
478,95,303
596,6,268
569,40,289
925,59,229
326,93,256
667,58,41
392,19,62
659,100,269
588,31,477
605,89,6
780,33,68
100,70,37
307,41,141
167,28,141
60,32,23
386,89,110
414,31,51
327,45,115
696,31,661
71,2,15
301,22,20
474,73,194
599,97,528
539,94,123
557,89,391
595,72,208
60,36,30
934,90,86
462,100,48
829,62,769
171,88,101
736,78,457
798,20,401
607,81,113
370,3,46
370,94,32
534,69,313
520,95,305
252,51,112
29,12,22
447,26,246
339,73,45
858,24,574
704,50,222
895,14,398
610,73,413
657,54,212
352,86,279
694,88,675
945,20,751
138,40,93
211,21,106
260,44,57
456,62,90
888,23,556
131,44,63
889,7,570
702,22,179
643,76,74
395,53,97
164,76,22
925,16,143
975,65,425
21,17,2
334,63,103
376,47,248
760,93,751
567,59,363
488,84,180
513,22,266
627,59,326
119,39,46
767,3,704
102,19,33
215,27,105
644,54,164
794,62,220
607,84,349
206,82,102
693,23,33
903,42,354
266,90,212
941,77,920
369,81,61
650,51,150
117,60,43
871,46,153
683,75,380
174,52,112
898,70,549
358,74,238
93,65,15
667,35,99
566,20,457
182,45,61
488,11,483
552,28,366
902,45,410
240,90,146
57,15,18
958,86,303
212,85,74
441,72,420
469,69,331
906,89,659
669,45,110
1000,63,786
718,87,716
73,49,73
623,45,621
92,11,50
794,27,39
262,33,179
589,16,98
436,10,85
793,82,157
670,38,487
819,48,181
772,14,348
227,99,72
94,1,94
60,56,32
606,94,104
418,59,343
395,80,110
819,12,752
420,69,65
344,31,167
981,69,214
295,87,40
391,19,43
573,50,76
871,11,56
376,85,254
166,5,121
496,66,204
635,59,165
483,70,264
125,29,16
920,58,502
447,81,262
891,14,342
219,98,162
923,94,448
606,73,121
190,74,37
93,32,7
493,46,148
667,73,99
254,19,37
91,18,42
154,87,5
962,36,679
858,49,168
775,16,325
681,52,546
94,27,61
429,56,138
17,9,17
259,3,68
730,70,163
462,38,370
470,19,241
252,91,159
210,73,100
773,37,707
39,32,38
41,27,34
541,59,484
622,80,211
502,5,342
484,85,478
452,98,126
108,50,79
61,7,19
517,67,449
171,49,15
767,6,632
260,64,1
760,34,639
676,32,287
119,62,91
274,81,69
481,20,308
854,6,359
451,63,25
918,44,25
203,84,54
111,59,51
318,36,143
100,87,82
541,80,140
167,45,86
694,49,635
924,76,435
831,51,522
170,90,142
614,57,175
549,97,262
363,73,31
921,17,63
239,56,216
519,62,75
311,11,86
22,22,7
396,82,262
907,55,678
104,41,78
29,29,26
794,86,217
590,83,577
303,51,223
584,59,214
497,100,180
456,17,223
112,84,89
387,33,130
961,98,735
97,28,93
908,58,718
108,20,65
898,24,663
927,69,316
869,86,855
809,7,10
547,72,186
75,58,56
581,90,367
375,6,337
996,71,435
84,25,59
9,6,7
794,18,221
527,56,384
740,15,262
813,48,709
307,67,77
276,99,148
859,31,314
239,63,104
85,45,49
850,82,725
2,2,1
66,30,64
181,24,28
24,18,9
975,98,169
613,36,440
808,30,528
230,96,178
927,89,699
300,93,32
121,59,60
60,12,59
807,84,272
62,57,9
18,12,7
692,96,574
571,57,106
736,28,417
811,4,487
532,50,246
704,23,286
779,89,287
162,82,158
859,56,706
623,75,442
960,92,86
706,19,20
495,96,427
416,69,209
368,25,273
587,85,162
824,99,133
837,66,545
240,43,54
560,92,452
746,98,65
459,10,315
741,67,582
289,90,60
873,100,323
596,32,275
6,4,5
311,46,113
934,10,397
915,24,162
832,94,653
827,62,645
284,8,219
151,12,79
459,5,127
176,15,102
176,96,49
169,32,141
806,19,389
667,16,60
917,91,372
199,75,165
536,55,53
257,68,205
894,64,304
103,14,33
982,21,956
964,56,210
951,99,259
30,10,28
939,38,353
45,1,45
635,64,403
164,87,75
222,58,199
95,10,74
748,77,321
596,75,245
397,97,91
153,35,68
334,98,275
23,16,4
213,40,162
684,59,414
879,1,879
606,13,83
714,87,368
779,47,383
909,98,313
632,83,408
303,49,234
847,24,310
816,84,214
392,68,98
826,54,464
608,98,96
195,10,113
100,77,83
44,43,24
941,91,698
520,17,339
237,36,7
557,2,91
524,92,386
550,100,238
682,56,16
959,18,557
508,88,355
666,20,649
497,81,54
639,28,437
27,22,18
648,77,296
965,87,537
902,79,479
306,6,242
591,16,130
842,15,187
180,18,62
63,47,57
313,84,107
369,67,174
676,54,572
121,63,1
375,36,110
764,45,52
634,66,299
824,58,175
691,70,284
157,47,22
900,92,171
49,4,43
411,4,94
292,56,292
72,18,28
337,74,76
278,80,108
338,28,65
462,40,132
83,20,41
405,71,20
309,18,242
203,68,184
77,64,2
113,29,30
489,22,239
377,65,74
627,19,525
289,98,212
897,36,200
799,8,409
563,86,507
424,48,413
576,15,418
558,98,445
636,31,129
257,31,157
850,32,539
865,6,425
529,89,75
812,89,30
308,82,63
373,51,81
837,62,435
96,53,20
260,6,232
248,56,236
144,64,83
327,24,8
62,24,7
383,22,92
380,71,215
337,36,170
333,42,10
849,64,52
909,46,107
400,52,169
815,66,739
604,90,62
750,100,201
993,6,239
289,65,21
219,52,101
378,89,164
817,21,170
581,16,553
994,35,899
718,67,496
902,44,239
568,92,58
728,100,224
453,71,424
661,70,217
194,60,68
83,29,43
182,91,46
677,9,5
392,97,3
261,84,52
248,49,19
698,81,296
537,23,171
54,17,23
723,71,626
905,66,692
467,13,413
42,20,13
699,3,500
19,14,17
810,9,440
859,15,442
616,89,373
364,53,350
673,88,193
245,15,87
323,95,209
751,69,696
92,30,65
234,79,172
600,77,345
189,99,61
600,11,96
839,53,641
73,58,15
22,2,13
180,81,93
556,42,157
382,56,339
314,36,314
369,46,49
366,62,254
970,2,917
366,32,45
867,20,99
250,44,129
332,100,88
278,43,127
129,63,1
787,12,368
486,50,482
958,97,157
99,53,81
187,98,73
216,52,163
584,94,419
398,55,358
781,65,104
595,33,177
291,27,143
561,79,157
90,70,8
324,19,208
467,71,37
596,82,561
181,75,142
704,13,3
908,92,907
332,18,11
739,54,452
674,62,138
540,30,419
823,29,614
155,39,82
622,87,368
569,33,481
805,70,13
257,17,9
81,34,2
664,44,629
615,3,248
98,3,85
87,4,74
851,65,568
486,51,275
619,64,8
236,40,189
3,1,3
975,93,18
797,11,108
318,15,39
394,81,172
657,47,380
55,35,18
48,7,37
165,16,81
170,69,54
885,27,817
924,2,825
637,48,187
896,76,133
544,28,142
129,23,39
430,53,300
872,83,159
801,66,619
180,9,142
206,95,46
907,52,499
302,38,267
136,19,86
847,51,500
332,20,142
345,55,42
498,89,401
454,28,133
988,43,286
683,92,656
38,9,25
121,35,46
195,28,18
600,45,196
61,49,22
310,71,73
729,98,614
168,19,89
783,99,107
483,58,252
2,1,2
772,55,748
730,74,717
783,49,598
125,44,56
184,14,22
387,51,29
71,64,65
887,66,399
903,54,296
788,10,637
502,99,195
471,73,447
934,45,2
499,71,374
964,55,63
597,84,112
774,98,525
28,8,15
784,85,556
449,83,213
616,41,388
287,38,280
546,5,19
791,65,754
627,80,611
171,95,114
510,46,429
472,45,311
595,68,231
11,4,9
790,54,141
780,34,555
322,63,8
238,41,39
780,42,249
778,91,418
152,30,69
557,96,68
925,25,276
720,2,417
103,67,86
61,30,40
497,88,390
82,38,13
959,83,22
364,72,93
505,11,181
324,1,324
50,38,39
22,12,14
90,87,68
380,59,96
541,33,112
614,6,376
779,33,35
374,13,42
533,5,497
243,65,222
924,62,552
681,30,418
170,38,66
285,73,163
742,39,524
60,27,50
91,56,46
920,49,532
968,66,164
290,25,266
538,32,129
278,78,70
292,81,106
26,4,19
948,30,345
601,71,509
367,96,119
734,12,489
800,14,740
122,53,88
325,58,251
106,42,70
238,48,141
182,86,95
177,52,92
165,26,31
941,75,389
684,24,238
574,86,318
338,31,320
139,47,69
603,5,304
757,55,682
548,33,343
866,50,486
230,32,119
375,98,35
683,12,571
565,69,252
157,12,151
283,54,88
729,28,221
327,60,113
933,5,428
198,39,183
968,33,97
651,15,325
104,38,3
760,12,44
580,87,318
411,21,56
858,42,233
716,68,624
334,15,279
155,38,145
347,59,328
650,93,349
264,6,256
1000,61,555
726,54,481
791,96,468
984,42,938
174,69,158
994,67,305
644,86,248
948,8,746
15,11,12
145,31,27
629,12,559
362,35,30
508,46,337
985,24,894
871,55,472
576,82,93
842,24,190
696,36,155
85,83,48
287,33,184
318,1,318
729,92,671
622,59,31
773,33,615
105,81,29
687,79,117
819,21,212
853,25,268
324,27,107
236,75,117
467,56,11
631,65,246
28,15,4
562,87,463
28,22,12
752,25,172
479,12,366
425,81,224
64,3,53
897,100,59
183,94,73
943,31,196
893,76,800
695,62,63
517,90,100
491,100,76
365,35,135
872,29,343
876,24,135
315,70,279
100,64,51
7,4,2
80,6,37
379,51,8
338,32,211
591,30,258
402,85,128
499,87,274
685,91,14
719,32,263
737,86,670
479,47,432
185,20,8
226,48,32
527,47,177
30,13,24
760,96,589
585,73,378
217,43,207
853,15,352
398,94,359
651,20,349
305,15,160
660,69,55
239,61,16
520,50,174
719,87,84
382,87,176
541,21,414
697,12,45
82,41,14
105,3,1
407,94,403
874,88,119
371,86,104
746,58,371
52,19,50
787,47,759
948,34,229
145,51,89
341,42,5
85,74,27
521,70,418
674,96,212
828,26,213
644,46,288
297,72,217
337,65,328
59,50,1
497,66,270
362,77,347
22,4,3
79,53,3
91,85,14
93,86,29
271,10,188
87,12,19
91,17,89
185,70,181
492,43,335
475,97,248
694,41,315
820,74,427
667,75,527
961,33,832
466,96,48
981,9,158
555,20,237
348,67,202
341,5,318
668,72,412
314,64,304
539,22,313
63,20,9
42,1,42
135,51,2
686,40,608
232,53,83
463,9,368
675,23,311
359,64,165
836,56,265
344,25,31
735,91,290
22,2,13
565,47,322
289,33,250
911,42,690
410,69,208
832,99,93
160,93,18
463,35,263
474,11,329
256,59,46
484,85,478
440,90,343
222,39,70
827,33,816
665,19,614
461,89,452
683,9,59
510,51,507
79,35,58
81,41,55
593,70,469
761,67,423
863,65,492
513,17,220
148,3,130
507,26,383
612,22,189
708,95,515
683,59,355
262,22,24
789,43,582
779,78,14
220,64,92
807,15,492
596,19,536
985,66,305
687,95,607
787,94,464
594,5,259
837,35,817
495,53,40
61,59,41
345,22,343
231,64,117
175,27,8
317,40,137
474,50,359
947,4,111
158,32,114
106,37,60
497,87,100
862,94,82
965,94,620
81,6,43
243,61,17
218,91,120
604,82,16
283,24,181
114,97,16
719,57,143
15,13,5
692,48,155
90,7,73
667,76,587
589,2,155
244,66,3
720,22,575
788,17,397
912,51,293
154,68,48
906,97,709
501,6,250
663,62,128
762,26,106
818,87,220
475,46,290
237,17,168
206,57,141
354,49,109
124,44,12
295,43,287
979,43,881
305,70,198
652,8,636
730,59,300
622,59,31
169,32,141
761,82,642
214,52,59
811,92,542
539,64,127
427,91,123
730,67,578
741,41,76
682,18,424
469,89,235
901,85,411
831,72,180
525,35,472
466,34,219
433,60,14
431,100,86
966,80,302
526,85,7
909,80,437
781,19,700
539,82,407
641,82,557
84,76,71
984,7,292
298,83,210
141,65,126
497,40,83
345,60,183
722,82,403
147,48,114
864,62,407
676,96,404
275,21,251
967,54,955
326,9,268
844,48,548
878,77,598
61,32,55
314,60,294
46,17,37
151,82,41
437,58,338
273,78,232
21,4,21
998,100,676
249,57,92
356,71,346
380,59,96
541,69,258
691,10,392
846,1,846
837,53,535
405,46,147
646,31,439
947,76,309
13,9,11
432,91,147
397,64,334
789,5,556
71,33,29
61,50,40
742,92,399
698,58,471
181,68,33
356,44,307
631,41,381
406,84,9
25,20,9
81,15,31
597,80,47
67,32,55
269,75,60
767,62,115
464,20,434
434,93,92
542,54,18
747,41,322
491,3,409
289,4,285
773,19,548
55,37,43
258,48,107
658,73,108
346,36,152
143,29,136
391,72,142
208,81,25
752,8,33
664,98,493
313,57,83
628,70,485
723,49,650
55,52,35
524,39,169
164,67,107
453,44,150
536,20,401
939,16,367
995,12,154
479,90,176
348,33,310
318,93,156
580,85,153
236,51,32
811,67,636
637,27,139
404,59,336
345,76,55
926,71,279
354,2,197
231,26,172
587,61,204
138,93,66
168,2,81
448,41,334
250,85,62
774,52,302
444,52,351
906,14,552
832,8,673
603,20,23
438,41,364
379,76,94
816,20,761
799,4,439
716,50,108
971,22,218
950,36,247
850,87,499
691,51,219
980,83,794
768,7,531
300,93,32
505,19,423
348,76,283
96,43,41
563,77,400
521,87,144
164,89,114
487,26,356
979,18,917
584,86,16
208,20,68
909,59,207
112,32,102
105,97,25
193,57,1
768,28,565
458,98,258
413,7,278
832,61,360
521,14,76
629,95,349
353,29,230
800,64,232
92,89,69
859,36,591
538,1,538
789,63,775
76,60,63
386,9,98
571,42,221
96,36,5
471,15,382
646,5,519
715,2,407
603,78,113
937,54,285
989,62,767
531,28,317
394,20,298
308,55,292
17,1,17
342,25,324
559,83,298
804,96,118
63,45,21
126,30,118
638,59,342
843,77,481
460,89,363
342,30,110
148,3,130
987,87,499
438,28,135
265,7,211
815,46,125
403,21,297
125,60,35
86,50,46
29,19,8
429,64,325
196,67,93
30,14,26
618,72,36
121,20,97
766,13,46
746,35,5
9,1,9
325,5,238
249,90,223
744,44,664
152,1,152
335,13,249
498,5,322
69,28,45
438,28,135
243,61,17
685,91,14
568,35,348
28,1,28
506,40,443
479,5,227
816,95,110
910,45,770
374,100,38
352,71,62
297,84,288
530,40,374
278,35,276
900,58,254
172,25,27
878,15,727
851,18,419
49,32,3
748,63,487
824,38,396
